id,texto,intent,original,template,is_kid_optimized
kid_expresar_necesidad_5127,este quiero pelota,EXPRESAR_NECESIDAD,este quiero pelota,quiero {objeto},True
kid_jugar_11663,quiero auto por favor,JUGAR,quiero auto por favor,quiero {juguete},True
kid_expresar_emocion_4018,me pone feliz,EXPRESAR_EMOCION,me pone feliz,me pone {emocion},True
kid_expresar_necesidad_24146,mm tengo frío,EXPRESAR_NECESIDAD,mm tengo frío,tengo {necesidad},True
kid_pedir_ayuda_9887,me ayudas,PEDIR_AYUDA,me ayudas,me ayudas,True
kid_jugar_19469,eh jugar jugar con peluche,JUGAR,eh jugar jugar con peluche,jugar con {juguete},True
kid_describir_dolor_22689,me pegué en espalda,DESCRIBIR_DOLOR,me pegué en espalda,me pegué en {parte_cuerpo},True
kid_agradecer_27856,te doy las gracias,AGRADECER,te doy las gracias,te doy las gracias,True
kid_saludar_37613,hola amiga asustado,SALUDAR,hola amiga asustado,hola {persona} {emocion},True
kid_jugar_22390,quiero jugar,JUGAR,quiero jugar,quiero jugar,True
kid_despedir_28101,este adiós adiós hermano,DESPEDIR,este adiós adiós hermano,adiós {persona},True
kid_jugar_30787,me gusta jugar escondidas,JUGAR,me gusta jugar escondidas,me gusta jugar {juego},True
kid_despedir_6231,eh adiós tío,DESPEDIR,eh adiós tío,adiós {persona},True
kid_jugar_17735,quiero quiero rompecabezas,JUGAR,quiero quiero rompecabezas,quiero {juguete},True
kid_jugar_38713,juego con rompecabezas,JUGAR,juego con rompecabezas,juego con {juguete},True
kid_describir_dolor_11197,mm me pegué en cabeza,DESCRIBIR_DOLOR,mm me pegué en cabeza,me pegué en {parte_cuerpo},True
kid_comer_beber_6794,tengo hambre,COMER_BEBER,tengo hambre,tengo hambre,True
kid_pedir_ayuda_9434,ayuda,PEDIR_AYUDA,ayuda,ayuda,True
kid_expresar_necesidad_7978,tengo tengo calor,EXPRESAR_NECESIDAD,tengo tengo calor,tengo {necesidad},True
kid_pedir_ayuda_25356,ayuda,PEDIR_AYUDA,ayuda,ayuda,True
kid_ir_lugar_22396,eh busco cocina,IR_LUGAR,eh busco cocina,busco {lugar},True
kid_pedir_ayuda_3365,me ayudas,PEDIR_AYUDA,me ayudas,me ayudas,True
kid_despedir_9695,adiós,DESPEDIR,adiós,adiós,True
kid_expresar_necesidad_16247,tengo frío,EXPRESAR_NECESIDAD,tengo frío,tengo {necesidad},True
kid_pedir_ayuda_20576,ayuda por favor,PEDIR_AYUDA,ayuda por favor,ayuda por favor,True
kid_ir_lugar_20480,donde está baño,IR_LUGAR,donde está baño,donde está {lugar},True
kid_pedir_ayuda_28056,no puedo cantar,PEDIR_AYUDA,no puedo cantar,no puedo {accion},True
kid_comer_beber_16988,quiero agua,COMER_BEBER,quiero agua,quiero agua,True
kid_expresar_necesidad_6065,este necesito libro libro por favor,EXPRESAR_NECESIDAD,este necesito libro libro por favor,necesito {objeto},True
kid_ir_lugar_23927,eh quiero ir al hospital hospital,IR_LUGAR,eh quiero ir al hospital hospital,quiero ir al {lugar},True
kid_comer_beber_20876,beber chocolate caliente,COMER_BEBER,beber chocolate caliente,beber {bebida},True
kid_expresar_necesidad_15530,mm tengo sueño,EXPRESAR_NECESIDAD,mm tengo sueño,tengo {necesidad},True
kid_expresar_necesidad_17772,eh busco libro,EXPRESAR_NECESIDAD,eh busco libro,busco {objeto},True
kid_expresar_emocion_11415,hoy estoy tranquilo,EXPRESAR_EMOCION,hoy estoy tranquilo,hoy estoy {emocion},True
kid_jugar_7532,juego con bloques,JUGAR,juego con bloques,juego con {juguete},True
kid_comer_beber_19585,más verduras,COMER_BEBER,más verduras,más {comida},True
kid_describir_dolor_2518,me duele dedo,DESCRIBIR_DOLOR,me duele dedo,me duele {parte_cuerpo},True
kid_comer_beber_11557,mm tengo sed,COMER_BEBER,mm tengo sed,tengo sed,True
kid_expresar_necesidad_22450,busco libro,EXPRESAR_NECESIDAD,busco libro,busco {objeto},True
kid_saludar_23376,buenas buenas tardes,SALUDAR,buenas buenas tardes,buenas tardes,True
kid_despedir_5919,adiós papá,DESPEDIR,adiós papá,adiós {persona},True
kid_comer_beber_32352,este me da fruta,COMER_BEBER,este me da fruta,me da {comida},True
kid_expresar_emocion_19377,me pone feliz cumpleaños,EXPRESAR_EMOCION,me pone feliz cumpleaños,me pone {emocion},True
kid_pedir_ayuda_31853,ayuda con bloques,PEDIR_AYUDA,ayuda con bloques,ayuda con {objeto},True
kid_expresar_necesidad_36663,necesito muñeca,EXPRESAR_NECESIDAD,necesito muñeca,necesito {objeto},True
kid_expresar_necesidad_15468,este dame juguete por favor,EXPRESAR_NECESIDAD,este dame juguete por favor,dame {objeto},True
kid_jugar_16197,jugamos,JUGAR,jugamos,jugamos,True
kid_pedir_ayuda_16461,ayuda con comida,PEDIR_AYUDA,ayuda con comida,ayuda con {objeto},True
kid_expresar_emocion_21512,me siento tranquilo,EXPRESAR_EMOCION,me siento tranquilo,me siento {emocion},True
kid_describir_dolor_19787,me duele,DESCRIBIR_DOLOR,me duele,me duele,True
kid_describir_dolor_36615,duele duele dedo,DESCRIBIR_DOLOR,duele duele dedo,duele {parte_cuerpo},True
kid_comer_beber_25055,quiero agua,COMER_BEBER,quiero agua,quiero agua,True
kid_expresar_necesidad_4505,donde está auto,EXPRESAR_NECESIDAD,donde está auto,donde está {objeto},True
kid_saludar_1256,hola,SALUDAR,hola,hola,True
kid_jugar_17967,bueno quiero bicicleta,JUGAR,bueno quiero bicicleta,quiero {juguete},True
kid_expresar_emocion_24265,bueno estoy muy feliz,EXPRESAR_EMOCION,bueno estoy muy feliz,estoy muy {emocion},True
kid_despedir_820,hasta luego,DESPEDIR,hasta luego,hasta luego,True
kid_comer_beber_28958,más campana extractora,COMER_BEBER,más campana extractora,más {comida},True
kid_saludar_11311,hola cómo estás,SALUDAR,hola cómo estás,hola cómo estás,True
kid_expresar_necesidad_17473,mm quiero bailar,EXPRESAR_NECESIDAD,mm quiero bailar,quiero {accion},True
kid_jugar_35865,me gusta jugar videojuegos,JUGAR,me gusta jugar videojuegos,me gusta jugar {juego},True
kid_pedir_ayuda_34587,no puedo jugar,PEDIR_AYUDA,no puedo jugar,no puedo {accion},True
kid_pedir_ayuda_36926,mm necesito ayuda,PEDIR_AYUDA,mm necesito ayuda,necesito ayuda,True
kid_jugar_8177,juguemos tag,JUGAR,juguemos tag,juguemos {juego},True
kid_pedir_ayuda_9721,no sé dibujar,PEDIR_AYUDA,no sé dibujar,no sé {accion},True
kid_saludar_37699,hola cómo estás,SALUDAR,hola cómo estás,hola cómo estás,True
kid_ir_lugar_39473,bueno quiero ir al casa,IR_LUGAR,bueno quiero ir al casa,quiero ir al {lugar},True
kid_saludar_25885,hola cómo estás,SALUDAR,hola cómo estás,hola cómo estás,True
kid_comer_beber_15843,eh quiero agua por favor,COMER_BEBER,eh quiero agua por favor,quiero agua,True
kid_saludar_6698,hola hermana contento,SALUDAR,hola hermana contento,hola {persona} {emocion},True
kid_expresar_necesidad_8465,dame libro,EXPRESAR_NECESIDAD,dame libro,dame {objeto},True
kid_expresar_necesidad_10243,necesito bloques,EXPRESAR_NECESIDAD,necesito bloques,necesito {objeto},True
kid_expresar_necesidad_28599,donde está auto,EXPRESAR_NECESIDAD,donde está auto,donde está {objeto},True
kid_expresar_necesidad_9735,tengo frío,EXPRESAR_NECESIDAD,tengo frío,tengo {necesidad},True
kid_saludar_36869,buenas buenas tardes,SALUDAR,buenas buenas tardes,buenas tardes,True
kid_despedir_424,nos vemos,DESPEDIR,nos vemos,nos vemos,True
kid_expresar_necesidad_15054,quiero pelota,EXPRESAR_NECESIDAD,quiero pelota,quiero {objeto},True
kid_jugar_15808,me gusta jugar jugar escondidas,JUGAR,me gusta jugar jugar escondidas,me gusta jugar {juego},True
kid_describir_dolor_361,tengo dolor,DESCRIBIR_DOLOR,tengo dolor,tengo dolor,True
kid_comer_beber_12722,quiero agua por favor,COMER_BEBER,quiero agua por favor,quiero agua,True
kid_ir_lugar_9633,quiero ir al plaza,IR_LUGAR,quiero ir al plaza,quiero ir al {lugar},True
kid_despedir_18847,adiós,DESPEDIR,adiós,adiós,True
kid_describir_dolor_25342,me duele mano,DESCRIBIR_DOLOR,me duele mano,me duele {parte_cuerpo},True
kid_expresar_necesidad_28534,tengo sueño,EXPRESAR_NECESIDAD,tengo sueño,tengo {necesidad},True
kid_despedir_36820,me voy,DESPEDIR,me voy,me voy,True
kid_agradecer_16234,gracias gracias papá,AGRADECER,gracias gracias papá,gracias {persona},True
kid_saludar_30281,hola papá papá cómo estás,SALUDAR,hola papá papá cómo estás,hola {persona} cómo estás,True
kid_jugar_19356,me gusta jugar escondidas,JUGAR,me gusta jugar escondidas,me gusta jugar {juego},True
kid_ir_lugar_5805,donde está casa casa,IR_LUGAR,donde está casa casa,donde está {lugar},True
kid_expresar_necesidad_33025,eh dame juguete,EXPRESAR_NECESIDAD,eh dame juguete,dame {objeto},True
kid_despedir_35064,nos vemos,DESPEDIR,nos vemos,nos vemos,True
kid_jugar_9598,este vamos a jugar,JUGAR,este vamos a jugar,vamos a jugar,True
kid_pedir_ayuda_34467,ayuda tía,PEDIR_AYUDA,ayuda tía,ayuda {persona},True
kid_pedir_ayuda_38507,ayuda por favor,PEDIR_AYUDA,ayuda por favor,ayuda por favor,True
kid_expresar_emocion_16432,estoy enojado,EXPRESAR_EMOCION,estoy enojado,estoy {emocion},True
kid_jugar_19065,jugar con bicicleta,JUGAR,jugar con bicicleta,jugar con {juguete},True
